timestamp,ecg,ppg,heart_rate
3060.008,282.0,0.1,60.0
3060.015,414.0,1.3273,60.0
3060.018,288.0,0.1,60.0
3060.022,416.0,1.2676,60.0
3060.028,295.0,0.1,60.0
3060.033,406.0,1.1408,60.0
3060.036,300.0,0.1,60.0
3060.039,400.0,1.059,60.0
3060.042,314.0,0.1,60.0
3060.048,385.0,0.8903,60.0
3060.051,329.0,0.1995,60.0
3060.054,371.0,0.7348,60.0
3060.06,344.0,0.3692,60.0
3060.067,353.0,0.5676,60.0
3060.07,360.0,0.5768,60.0
3060.077,336.0,0.4128,60.0
3060.08,374.0,0.7785,60.0
3060.088,321.0,0.2905,60.0
3060.094,387.0,0.9738,60.0
3060.097,307.0,0.188,60.0
3060.1,402.0,1.184,60.0
3060.108,298.0,0.1125,60.0
3060.111,412.0,1.3452,60.0
3060.118,293.0,0.1,60.0
